adler2	2.0.1	registry+https://github.com/rust-lang/crates.io-index	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2
aho-corasick	1.1.4	registry+https://github.com/rust-lang/crates.io-index	Unlicense OR MIT	https://github.com/BurntSushi/aho-corasick
aligned	0.4.3	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-embedded-community/aligned
aligned-vec	0.6.4	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/sarah-ek/aligned-vec/
allocator-api2	0.2.21	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/zakarumych/allocator-api2
android-activity	0.6.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-mobile/android-activity
android-properties	0.2.2	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/miklelappo/android-properties
android_system_properties	0.1.5	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/nical/android_system_properties
annotate-snippets	0.12.16	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/annotate-snippets-rs
anstyle	1.0.14	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git
anyhow	1.0.104	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow
arbitrary	1.4.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-fuzz/arbitrary/
arboard	3.6.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/1Password/arboard
arg_enum_proc_macro	0.3.4	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/lu-zero/arg_enum_proc_macro
arrayref	0.3.9	registry+https://github.com/rust-lang/crates.io-index	BSD-2-Clause	https://github.com/droundy/arrayref
arrayvec	0.7.8	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/bluss/arrayvec
as-slice	0.2.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/japaric/as-slice
async-broadcast	0.7.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/smol-rs/async-broadcast
async-channel	2.5.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-channel
async-executor	1.14.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-executor
async-io	2.6.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-io
async-lock	3.4.2	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-lock
async-process	2.5.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-process
async-recursion	1.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/dcchut/async-recursion
async-signal	0.2.14	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-signal
async-task	4.7.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/async-task
async-trait	0.1.91	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/dtolnay/async-trait
atomic-waker	1.1.2	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/atomic-waker
auto_enums	0.8.9	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/taiki-e/auto_enums
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg
av-scenechange	0.14.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/rust-av/av-scenechange
av1-grain	0.2.5	registry+https://github.com/rust-lang/crates.io-index	BSD-2-Clause	https://github.com/rust-av/av1-grain
avif-serialize	0.8.9	registry+https://github.com/rust-lang/crates.io-index	BSD-3-Clause	https://github.com/kornelski/avif-serialize
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/marshallpierce/rust-base64
bincode	2.0.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/bincode-org/bincode
bindgen	0.72.1	registry+https://github.com/rust-lang/crates.io-index	BSD-3-Clause	https://github.com/rust-lang/rust-bindgen
bit_field	0.10.3	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0/MIT	https://github.com/phil-opp/rust-bit-field
bitflags	1.3.2	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/bitflags/bitflags
bitflags	2.13.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/bitflags/bitflags
bitstream-io	4.10.0	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/tuffy/bitstream-io
block2	0.5.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/madsmtm/objc2
block2	0.6.2	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/madsmtm/objc2
blocking	1.6.2	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/blocking
borsh	1.8.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/near/borsh-rs
built	0.8.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/lukaslueg/built
bumpalo	3.20.3	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/fitzgen/bumpalo
by_address	1.2.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/mbrubeck/by_address
bytemuck	1.25.2	registry+https://github.com/rust-lang/crates.io-index	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
bytemuck_derive	1.11.0	registry+https://github.com/rust-lang/crates.io-index	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
byteorder-lite	0.1.0	registry+https://github.com/rust-lang/crates.io-index	Unlicense OR MIT	https://github.com/image-rs/byteorder-lite
bytes	1.12.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/tokio-rs/bytes
calloop	0.13.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Smithay/calloop
calloop	0.14.4	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Smithay/calloop
cc	1.3.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
cexpr	0.6.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0/MIT	https://github.com/jethrogb/rust-cexpr
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if
cfg_aliases	0.2.2	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/katharostech/cfg_aliases
cgl	0.3.2	registry+https://github.com/rust-lang/crates.io-index	MIT / Apache-2.0	https://github.com/servo/cgl-rs
chrono	0.4.45	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/chronotope/chrono
clang-sys	1.8.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0	https://github.com/KyleMayes/clang-sys
clipboard-win	5.4.1	registry+https://github.com/rust-lang/crates.io-index	BSL-1.0	https://github.com/DoumanAsh/clipboard-win
clru	0.6.3	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/marmeladema/clru-rs
color_quant	1.1.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/image-rs/color_quant.git
combine	4.6.7	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Marwes/combine
concurrent-queue	2.5.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/concurrent-queue
const-field-offset	0.2.1	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	MIT OR Apache-2.0	https://github.com/slint-ui/slint
const-field-offset-macro	0.2.1	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	MIT OR Apache-2.0	https://github.com/slint-ui/slint
convert_case	0.10.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/rutrum/convert-case
core-foundation	0.10.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-foundation	0.9.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-foundation-sys	0.8.7	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-graphics	0.23.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-graphics-types	0.1.3	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core_maths	0.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/robertbastian/core_maths
countme	3.0.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/matklad/countme
crc32fast	1.5.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast
critical-section	1.2.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-embedded/critical-section
crossbeam-channel	0.5.16	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-deque	0.8.7	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-epoch	0.9.20	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-utils	0.8.22	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crunchy	0.2.4	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/eira-fransham/crunchy
csv	1.4.0	registry+https://github.com/rust-lang/crates.io-index	Unlicense/MIT	https://github.com/BurntSushi/rust-csv
csv-core	0.1.13	registry+https://github.com/rust-lang/crates.io-index	Unlicense/MIT	https://github.com/BurntSushi/rust-csv
cursor-icon	1.2.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0 OR Zlib	https://github.com/rust-windowing/cursor-icon
